"","Package","Built"
"1","acepack","3.4.1"
"2","assertr","3.4.1"
"3","assertthat","3.4.1"
"4","backports","3.4.1"
"5","base64enc","3.4.1"
"6","BH","3.4.1"
"7","bindr","3.4.1"
"8","bindrcpp","3.4.1"
"9","bit","3.4.1"
"10","bit64","3.4.1"
"11","bitops","3.4.1"
"12","blob","3.4.1"
"13","broom","3.4.3"
"14","caTools","3.4.2"
"15","cellranger","3.4.3"
"16","checkmate","3.4.1"
"17","chron","3.4.1"
"18","cli","3.4.3"
"19","clipr","3.4.3"
"20","clisymbols","3.4.3"
"21","colorspace","3.4.1"
"22","crayon","3.4.3"
"23","curl","3.4.1"
"24","data.table","3.4.0"
"25","DBI","3.4.1"
"26","dbplyr","3.4.1"
"27","debugme","3.4.3"
"28","desc","3.4.3"
"29","devtools","3.4.1"
"30","dichromat","3.4.1"
"31","digest","3.4.1"
"32","dplyr","3.4.3"
"33","DT","3.4.1"
"34","dygraphs","3.4.1"
"35","enc","3.4.3"
"36","ensurer","3.4.1"
"37","evaluate","3.4.1"
"38","forcats","3.4.3"
"39","formatR","3.4.2"
"40","Formula","3.4.1"
"41","fs","3.4.3"
"42","gbm","3.4.1"
"43","ggplot2","3.4.3"
"44","gh","3.4.3"
"45","git2r","3.4.1"
"46","glue","3.4.1"
"47","gridExtra","3.4.2"
"48","gtable","3.4.1"
"49","haven","3.4.3"
"50","here","3.4.3"
"51","highr","3.4.1"
"52","Hmisc","3.4.2"
"53","hms","3.4.1"
"54","htmlTable","3.4.1"
"55","htmltools","3.4.1"
"56","htmlwidgets","3.4.1"
"57","httpuv","3.4.1"
"58","httr","3.4.1"
"59","ini","3.4.3"
"60","jsonlite","3.4.1"
"61","knitr","3.4.1"
"62","labeling","3.4.1"
"63","lattice","3.4.1"
"64","latticeExtra","3.4.1"
"65","lazyeval","3.4.1"
"66","lme4","3.4.1"
"67","lmtest","3.4.3"
"68","lubridate","3.4.3"
"69","magrittr","3.4.1"
"70","markdown","3.4.1"
"71","memoise","3.4.1"
"72","mime","3.4.1"
"73","minqa","3.4.1"
"74","mnormt","3.4.1"
"75","modelr","3.4.3"
"76","munsell","3.4.1"
"77","nloptr","3.4.1"
"78","noncensus","3.4.1"
"79","pbkrtest","3.4.1"
"80","pkgconfig","3.4.1"
"81","plogr","3.4.1"
"82","plyr","3.4.1"
"83","praise","3.4.3"
"84","proto","3.4.1"
"85","psych","3.4.3"
"86","purrr","3.4.3"
"87","R6","3.4.1"
"88","RColorBrewer","3.4.1"
"89","Rcpp","3.4.1"
"90","RcppEigen","3.4.1"
"91","readr","3.4.3"
"92","readxl","3.4.3"
"93","rematch","3.4.3"
"94","rematch2","3.4.3"
"95","reprex","3.4.3"
"96","reshape","3.4.1"
"97","reshape2","3.4.1"
"98","rgl","3.4.1"
"99","rJava","3.4.1"
"100","Rlab","3.4.1"
"101","rlang","3.4.3"
"102","rmarkdown","3.4.1"
"103","RODBC","3.4.1"
"104","rprojroot","3.4.1"
"105","RSQLite","3.4.1"
"106","RSQLServer","3.4.1"
"107","rstudioapi","3.4.3"
"108","rvest","3.4.3"
"109","sandwich","3.4.3"
"110","scales","3.4.2"
"111","selectr","3.4.3"
"112","shiny","3.4.1"
"113","SnowballC","3.4.1"
"114","sourcetools","3.4.1"
"115","sqldf","3.4.1"
"116","stringi","3.4.1"
"117","stringr","3.4.1"
"118","strucchange","3.4.3"
"119","styler","3.4.3"
"120","testthat","3.4.3"
"121","tibble","3.4.2"
"122","tidyr","3.4.3"
"123","tidyselect","3.4.2"
"124","tidyverse","3.4.3"
"125","urca","3.4.3"
"126","usethis","3.4.3"
"127","vars","3.4.3"
"128","viridis","3.4.1"
"129","viridisLite","3.4.1"
"130","whisker","3.4.1"
"131","withr","3.4.1"
"132","xlsx","3.4.1"
"133","xlsxjars","3.4.1"
"134","xml2","3.4.3"
"135","xtable","3.4.1"
"136","xts","3.4.1"
"137","yaml","3.4.1"
"138","zipcode","3.4.1"
"139","zoo","3.4.1"
